"","0.9~1","0.8~0.9","0.7~0.8","0.6~0.7","0.5~0.6","0.4~0.5","0.3~0.4","0.2~0.3","0.1~0.2","0~0.1"
"nnet",0.203703703703704,0.0648148148148148,0.0555555555555556,0.0648148148148148,0.0462962962962963,0.0555555555555556,0.12962962962963,0.12962962962963,0.12962962962963,0.12037037037037
"tarantula",0.0185185185185185,0.0555555555555556,0.0925925925925926,0.0462962962962963,0.111111111111111,0.222222222222222,0.0648148148148148,0.138888888888889,0.0925925925925926,0.157407407407407
"ochiai",0.037037037037037,0.0462962962962963,0.0740740740740741,0.0740740740740741,0.0648148148148148,0.212962962962963,0.175925925925926,0.157407407407407,0.0555555555555556,0.101851851851852
"zoltar",0.037037037037037,0.0462962962962963,0.0740740740740741,0.0648148148148148,0.0740740740740741,0.212962962962963,0.175925925925926,0.166666666666667,0.0462962962962963,0.101851851851852
"kulczynski1",0.037037037037037,0.037037037037037,0.0833333333333333,0.0833333333333333,0.101851851851852,0.157407407407407,0.185185185185185,0.185185185185185,0.037037037037037,0.0925925925925926
"kulczynski2",0.0462962962962963,0.037037037037037,0.0833333333333333,0.0462962962962963,0.0555555555555556,0.259259259259259,0.175925925925926,0.148148148148148,0.0555555555555556,0.0925925925925926
"wong",0.0462962962962963,0.0462962962962963,0.0740740740740741,0.0740740740740741,0.12037037037037,0.166666666666667,0.194444444444444,0.12037037037037,0.0648148148148148,0.0925925925925926
"wong1",0.0462962962962963,0.0185185185185185,0.0740740740740741,0.0648148148148148,0.148148148148148,0.12962962962963,0.240740740740741,0.0740740740740741,0.111111111111111,0.0925925925925926
"wong2",0.157407407407407,0.0555555555555556,0.12037037037037,0.111111111111111,0.0833333333333333,0.12037037037037,0.0833333333333333,0.0833333333333333,0.12037037037037,0.0648148148148148
"tandg",0.0462962962962963,0.0277777777777778,0.0740740740740741,0.0740740740740741,0.12962962962963,0.175925925925926,0.203703703703704,0.111111111111111,0.0648148148148148,0.0925925925925926
